Transaction,Date,Item
157,10/31/2016,Coffee
157,10/31/2016,Bread
158,10/31/2016,Coffee
158,10/31/2016,Muffin
159,10/31/2016,Bread
159,10/31/2016,Hot chocolate
159,10/31/2016,Cookies
160,10/31/2016,Mineral water
160,10/31/2016,Muffin
161,10/31/2016,Tea
162,10/31/2016,Muffin
163,10/31/2016,Coffee
163,10/31/2016,Juice
164,10/31/2016,Coffee
164,10/31/2016,Muffin
165,10/31/2016,Tea
166,10/31/2016,Coffee
166,10/31/2016,Muffin
167,10/31/2016,Sandwich
167,10/31/2016,Hearty & Seasonal
167,10/31/2016,Bread
167,10/31/2016,Mineral water
168,10/31/2016,Tea
168,10/31/2016,Coffee
169,10/31/2016,Mineral water
170,10/31/2016,Coffee
171,10/31/2016,Soup
171,10/31/2016,Tea
172,10/31/2016,Bread
172,10/31/2016,Coffee
173,10/31/2016,Bread
173,10/31/2016,Muffin
174,10/31/2016,Coffee
175,10/31/2016,Bread
176,10/31/2016,Cookies
176,10/31/2016,Coffee
178,11/1/2016,Coffee
178,11/1/2016,Pastry
179,11/1/2016,Coffee
179,11/1/2016,Pastry
180,11/1/2016,Jam
180,11/1/2016,Tea
181,11/1/2016,Tea
181,11/1/2016,Tea
182,11/1/2016,Pastry
182,11/1/2016,Pastry
182,11/1/2016,Ella's Kitchen Pouches
183,11/1/2016,Pastry
184,11/1/2016,Farm House
184,11/1/2016,NONE
184,11/1/2016,Tea
185,11/1/2016,Tea
185,11/1/2016,Victorian Sponge
186,11/1/2016,Tea
186,11/1/2016,Pastry
187,11/1/2016,Bread
188,11/1/2016,Coffee
189,11/1/2016,Bread
189,11/1/2016,Coffee
190,11/1/2016,Coffee
190,11/1/2016,Pastry
190,11/1/2016,Pastry
191,11/1/2016,Soup
191,11/1/2016,Tea
192,11/1/2016,NONE
192,11/1/2016,Bread
193,11/1/2016,Coffee
194,11/1/2016,Bread
194,11/1/2016,Bread
195,11/1/2016,Bread
195,11/1/2016,NONE
195,11/1/2016,Scandinavian
196,11/1/2016,Bread
196,11/1/2016,Cake
196,11/1/2016,Cookies
197,11/1/2016,Coffee
197,11/1/2016,Coffee
197,11/1/2016,Tea
198,11/1/2016,Coffee
198,11/1/2016,Cookies
199,11/1/2016,Coffee
200,11/1/2016,Bread
201,11/1/2016,NONE
201,11/1/2016,Coffee
201,11/1/2016,Pastry
202,11/1/2016,Coffee
202,11/1/2016,Coffee
203,11/1/2016,Coffee
204,11/1/2016,Scandinavian
204,11/1/2016,Bread
205,11/1/2016,Coffee
205,11/1/2016,Coffee
205,11/1/2016,Pastry
206,11/1/2016,Scandinavian
206,11/1/2016,Coffee
206,11/1/2016,Pastry
207,11/1/2016,Hearty & Seasonal
207,11/1/2016,Coffee
207,11/1/2016,Muffin
208,11/1/2016,Bread
209,11/1/2016,Coffee
210,11/1/2016,Scandinavian
211,11/1/2016,Soup
211,11/1/2016,Coffee
212,11/1/2016,Coffee
212,11/1/2016,Cookies
212,11/1/2016,Tartine
213,11/1/2016,Bread
214,11/1/2016,Bread
214,11/1/2016,Tea
214,11/1/2016,Tea
215,11/1/2016,Pastry
215,11/1/2016,Coffee
216,11/1/2016,Tartine
216,11/1/2016,Coffee
217,11/1/2016,Bread
217,11/1/2016,Cookies
218,11/1/2016,Sandwich
219,11/1/2016,Tartine
220,11/1/2016,Bread
220,11/1/2016,Pastry
221,11/1/2016,Bread
221,11/1/2016,Scandinavian
222,11/1/2016,Scandinavian
223,11/1/2016,Alfajores
223,11/1/2016,Coffee
224,11/1/2016,Coffee
225,11/1/2016,Coffee
225,11/1/2016,Coke
225,11/1/2016,Soup
226,11/1/2016,Cake
227,11/1/2016,Tea
227,11/1/2016,Sandwich
227,11/1/2016,Soup
228,11/1/2016,Coffee
229,11/1/2016,Hearty & Seasonal
229,11/1/2016,Bread
230,11/1/2016,Alfajores
231,11/1/2016,Cake
232,11/1/2016,Tea
232,11/1/2016,Tea
232,11/1/2016,Bread
233,11/1/2016,Coffee
233,11/1/2016,Tea
233,11/1/2016,Bread
233,11/1/2016,Soup
234,11/1/2016,Coffee
234,11/1/2016,Coffee
235,11/1/2016,Scandinavian
236,11/1/2016,Fudge
237,11/1/2016,Coffee
237,11/1/2016,Sandwich
238,11/1/2016,Tea
238,11/1/2016,Bread
238,11/1/2016,Cookies
238,11/1/2016,Pastry
239,11/1/2016,Muffin
240,11/1/2016,Scandinavian
241,11/1/2016,Jam
241,11/1/2016,Tea
242,11/1/2016,Juice
242,11/1/2016,Tea
242,11/1/2016,Alfajores
243,11/1/2016,Cake
243,11/1/2016,Muffin
243,11/1/2016,Coffee
243,11/1/2016,Soup
244,11/1/2016,Hot chocolate
244,11/1/2016,Cake
244,11/1/2016,Coffee
245,11/1/2016,Cake
245,11/1/2016,Cookies
246,11/1/2016,Tea
246,11/1/2016,Bread
247,11/1/2016,Alfajores
247,11/1/2016,Coffee
247,11/1/2016,Coffee
247,11/1/2016,Coffee
247,11/1/2016,Juice
248,11/1/2016,Coffee
248,11/1/2016,Tea
248,11/1/2016,Soup
249,11/1/2016,Hot chocolate
250,11/1/2016,Cookies
251,11/1/2016,Coffee
251,11/1/2016,Medialuna
252,11/1/2016,Bread
252,11/1/2016,Eggs
253,11/1/2016,Scandinavian
254,11/1/2016,Medialuna
255,11/2/2016,Coffee
255,11/2/2016,Coffee
255,11/2/2016,Pastry
256,11/2/2016,Coffee
256,11/2/2016,Bread
257,11/2/2016,Bread
257,11/2/2016,Coffee
257,11/2/2016,Pastry
257,11/2/2016,NONE
258,11/2/2016,Coffee
258,11/2/2016,Pastry
259,11/2/2016,Pastry
260,11/2/2016,Coffee
261,11/2/2016,Coffee
262,11/2/2016,Coffee
262,11/2/2016,Hot chocolate
262,11/2/2016,Pastry
263,11/2/2016,Coke
264,11/2/2016,Coffee
264,11/2/2016,Jam
265,11/2/2016,Tea
266,11/2/2016,NONE
266,11/2/2016,Bread
266,11/2/2016,Pastry
267,11/2/2016,Coffee
267,11/2/2016,Alfajores
267,11/2/2016,Farm House
268,11/2/2016,Tea
268,11/2/2016,Pastry
269,11/2/2016,Bread
270,11/2/2016,Coffee
270,11/2/2016,Jam
271,11/2/2016,Coffee
271,11/2/2016,Tea
271,11/2/2016,Coffee
271,11/2/2016,Pastry
272,11/2/2016,Farm House
274,11/2/2016,Coffee
274,11/2/2016,NONE
274,11/2/2016,Bread
274,11/2/2016,Pastry
275,11/2/2016,Farm House
276,11/2/2016,Coffee
276,11/2/2016,Coffee
276,11/2/2016,Pastry
277,11/2/2016,Farm House
278,11/2/2016,Coffee
278,11/2/2016,Pastry
279,11/2/2016,NONE
279,11/2/2016,Coffee
280,11/2/2016,Coffee
280,11/2/2016,Pastry
281,11/2/2016,Bread
281,11/2/2016,Bread
282,11/2/2016,Bread
282,11/2/2016,Coffee
282,11/2/2016,Pastry
283,11/2/2016,Pastry
283,11/2/2016,Coffee
284,11/2/2016,Coffee
284,11/2/2016,Farm House
285,11/2/2016,Farm House
285,11/2/2016,Farm House
285,11/2/2016,Pastry
286,11/2/2016,Bread
286,11/2/2016,Juice
286,11/2/2016,Alfajores
287,11/2/2016,Coffee
287,11/2/2016,Pastry
288,11/2/2016,Bread
288,11/2/2016,Alfajores
289,11/2/2016,Bread
290,11/2/2016,Coffee
290,11/2/2016,Cookies
291,11/2/2016,Coffee
292,11/2/2016,Cookies
293,11/2/2016,Hearty & Seasonal
294,11/2/2016,Coffee
295,11/2/2016,Jam
295,11/2/2016,Tartine
295,11/2/2016,Bread
296,11/2/2016,Farm House
296,11/2/2016,Scandinavian
297,11/2/2016,Hearty & Seasonal
297,11/2/2016,Coffee
297,11/2/2016,Muffin
297,11/2/2016,Scandinavian
298,11/2/2016,Tartine
298,11/2/2016,Pick and Mix Bowls
298,11/2/2016,NONE
298,11/2/2016,Coffee
298,11/2/2016,Coke
299,11/2/2016,Bread
300,11/2/2016,Scandinavian
300,11/2/2016,Farm House
300,11/2/2016,Alfajores
300,11/2/2016,Coffee
300,11/2/2016,Coffee
301,11/2/2016,Juice
301,11/2/2016,Mineral water
301,11/2/2016,Soup
302,11/2/2016,Soup
302,11/2/2016,Tea
303,11/2/2016,Juice
303,11/2/2016,Tea
303,11/2/2016,Cookies
303,11/2/2016,Soup
304,11/2/2016,Hearty & Seasonal
304,11/2/2016,Tea
305,11/2/2016,Fudge
306,11/2/2016,Coffee
306,11/2/2016,Mineral water
306,11/2/2016,Juice
306,11/2/2016,Soup
307,11/2/2016,Hearty & Seasonal
308,11/2/2016,Hearty & Seasonal
308,11/2/2016,Smoothies
309,11/2/2016,Hearty & Seasonal
309,11/2/2016,Tea
310,11/2/2016,Coffee
310,11/2/2016,Sandwich
310,11/2/2016,Sandwich
311,11/2/2016,Cookies
311,11/2/2016,Farm House
312,11/2/2016,Soup
312,11/2/2016,Tea
312,11/2/2016,Juice
313,11/2/2016,Soup
314,11/2/2016,Coffee
316,11/2/2016,Bread
317,11/2/2016,Cookies
317,11/2/2016,Tea
318,11/2/2016,Soup
318,11/2/2016,Hearty & Seasonal
318,11/2/2016,Bread
319,11/2/2016,Coffee
320,11/2/2016,Coffee
321,11/2/2016,Coffee
321,11/2/2016,Tea
322,11/2/2016,Bread
323,11/2/2016,Tea
324,11/2/2016,Coffee
324,11/2/2016,Tea
325,11/2/2016,Coffee
326,11/2/2016,Fudge
327,11/2/2016,Tea
328,11/2/2016,Soup
328,11/2/2016,Tea
329,11/2/2016,Juice
330,11/2/2016,Alfajores
331,11/2/2016,Bread
332,11/2/2016,Coffee
332,11/2/2016,Alfajores
333,11/2/2016,Juice
333,11/2/2016,Alfajores
333,11/2/2016,Cookies
333,11/2/2016,Pick and Mix Bowls
333,11/2/2016,Mineral water
334,11/2/2016,Coffee
334,11/2/2016,Alfajores
335,11/2/2016,Fudge
336,11/2/2016,Mighty Protein
336,11/2/2016,Juice
337,11/2/2016,Coffee
337,11/2/2016,Mineral water
337,11/2/2016,Alfajores
338,11/2/2016,Mighty Protein
338,11/2/2016,Coffee
339,11/2/2016,Alfajores
340,11/3/2016,Coffee
340,11/3/2016,Bread
341,11/3/2016,Medialuna
341,11/3/2016,Medialuna
342,11/3/2016,Medialuna
342,11/3/2016,Bread
343,11/3/2016,Farm House
344,11/3/2016,Coffee
344,11/3/2016,Pastry
345,11/3/2016,Farm House
346,11/3/2016,NONE
346,11/3/2016,Coffee
346,11/3/2016,Coffee
346,11/3/2016,Pastry
346,11/3/2016,Pastry
346,11/3/2016,Coffee
347,11/3/2016,Medialuna
348,11/3/2016,Bread
348,11/3/2016,NONE
348,11/3/2016,Tea
348,11/3/2016,Sandwich
349,11/3/2016,Bread
350,11/3/2016,Jam
350,11/3/2016,Coffee
350,11/3/2016,Farm House
351,11/3/2016,Focaccia
352,11/3/2016,Bread
353,11/3/2016,Tartine
353,11/3/2016,Pastry
353,11/3/2016,Bread
353,11/3/2016,My-5 Fruit Shoot
354,11/3/2016,Farm House
354,11/3/2016,Pastry
355,11/3/2016,Bread
355,11/3/2016,Pastry
356,11/3/2016,Pastry
356,11/3/2016,Bread
357,11/3/2016,Jam
357,11/3/2016,Coffee
358,11/3/2016,Farm House
359,11/3/2016,Bread
359,11/3/2016,Pastry
360,11/3/2016,Coffee
360,11/3/2016,Tea
360,11/3/2016,Bread
361,11/3/2016,Jam
363,11/3/2016,Pastry
363,11/3/2016,Medialuna
363,11/3/2016,Medialuna
364,11/3/2016,Coffee
365,11/3/2016,Tea
366,11/3/2016,Bread
367,11/3/2016,Bread
367,11/3/2016,Pastry
368,11/3/2016,Pastry
369,11/3/2016,Farm House
370,11/3/2016,Tea
371,11/3/2016,Coffee
371,11/3/2016,Brownie
371,11/3/2016,Alfajores
371,11/3/2016,Fudge
372,11/3/2016,Bread
372,11/3/2016,Fudge
372,11/3/2016,Cookies
373,11/3/2016,Coffee
374,11/3/2016,Bread
375,11/3/2016,Coffee
375,11/3/2016,Coffee
375,11/3/2016,Jam
375,11/3/2016,Pastry
376,11/3/2016,Soup
376,11/3/2016,Coffee
377,11/3/2016,Smoothies
377,11/3/2016,Soup
377,11/3/2016,Hearty & Seasonal
377,11/3/2016,Pastry
378,11/3/2016,Pastry
378,11/3/2016,Bread
379,11/3/2016,Pastry
379,11/3/2016,Medialuna
380,11/3/2016,NONE
380,11/3/2016,Tea
380,11/3/2016,Coffee
381,11/3/2016,Bread
381,11/3/2016,Cookies
382,11/3/2016,Coffee
382,11/3/2016,Coffee
382,11/3/2016,Bread
382,11/3/2016,Hearty & Seasonal
382,11/3/2016,Pick and Mix Bowls
382,11/3/2016,Sandwich
382,11/3/2016,Focaccia
383,11/3/2016,Coffee
384,11/3/2016,Coffee
384,11/3/2016,Sandwich
384,11/3/2016,Brownie
385,11/3/2016,Brownie
385,11/3/2016,Cookies
386,11/3/2016,Coffee
387,11/3/2016,Coffee
387,11/3/2016,NONE
388,11/3/2016,Sandwich
388,11/3/2016,NONE
388,11/3/2016,Bread
388,11/3/2016,Coffee
389,11/3/2016,Coffee
389,11/3/2016,Hot chocolate
390,11/3/2016,Tea
390,11/3/2016,NONE
391,11/3/2016,Sandwich
391,11/3/2016,Coffee
391,11/3/2016,Brownie
392,11/3/2016,Brownie
392,11/3/2016,Pastry
392,11/3/2016,Focaccia
392,11/3/2016,Farm House
393,11/3/2016,Cake
393,11/3/2016,Focaccia
394,11/3/2016,Soup
394,11/3/2016,Hearty & Seasonal
394,11/3/2016,Mineral water
395,11/3/2016,Hearty & Seasonal
396,11/3/2016,Hearty & Seasonal
397,11/3/2016,Coffee
397,11/3/2016,Coffee
397,11/3/2016,Pastry
398,11/3/2016,Coffee
399,11/3/2016,Tea
399,11/3/2016,Cake
400,11/3/2016,Coffee
400,11/3/2016,Soup
401,11/3/2016,Bread
401,11/3/2016,Focaccia
401,11/3/2016,Fudge
402,11/3/2016,Hot chocolate
402,11/3/2016,Coffee
402,11/3/2016,Alfajores
403,11/3/2016,Brownie
403,11/3/2016,Pastry
403,11/3/2016,Cake
404,11/3/2016,Medialuna
404,11/3/2016,Alfajores
404,11/3/2016,Dulce de Leche
405,11/3/2016,Dulce de Leche
405,11/3/2016,Alfajores
406,11/3/2016,Bread
406,11/3/2016,Cake
407,11/3/2016,Cake
407,11/3/2016,Coffee
408,11/3/2016,Bread
409,11/3/2016,Sandwich
410,11/3/2016,Bread
410,11/3/2016,Coffee
410,11/3/2016,Alfajores
410,11/3/2016,Medialuna
411,11/3/2016,Coffee
412,11/3/2016,Bread
412,11/3/2016,Alfajores
413,11/3/2016,Tea
413,11/3/2016,Coffee
414,11/3/2016,Bread
415,11/3/2016,Dulce de Leche
416,11/3/2016,Farm House
417,11/3/2016,Fudge
418,11/3/2016,Coffee
419,11/3/2016,Coffee
419,11/3/2016,Alfajores
419,11/3/2016,Juice
419,11/3/2016,Ella's Kitchen Pouches
419,11/3/2016,Brownie
420,11/3/2016,Alfajores
421,11/3/2016,Alfajores
421,11/3/2016,Brownie
421,11/3/2016,Cookies
421,11/3/2016,Bread
421,11/3/2016,Juice
422,11/3/2016,Cake
422,11/3/2016,Cookies
423,11/3/2016,Pick and Mix Bowls
424,11/3/2016,Coffee
425,11/3/2016,Farm House
426,11/3/2016,Tea
427,11/3/2016,Coffee
428,11/3/2016,Focaccia
428,11/3/2016,Farm House
429,11/3/2016,Dulce de Leche
430,11/3/2016,Juice
430,11/3/2016,My-5 Fruit Shoot
430,11/3/2016,Ella's Kitchen Pouches
430,11/3/2016,Cookies
431,11/3/2016,Bread
432,11/3/2016,Hot chocolate
433,11/3/2016,Coffee
435,11/3/2016,Coffee
436,11/3/2016,Coffee
437,11/4/2016,Medialuna
438,11/4/2016,Bread
438,11/4/2016,Tea
438,11/4/2016,Jam
439,11/4/2016,Farm House
440,11/4/2016,Bread
441,11/4/2016,Coffee
441,11/4/2016,NONE
442,11/4/2016,Medialuna
442,11/4/2016,Coffee
443,11/4/2016,Bread
444,11/4/2016,Medialuna
444,11/4/2016,Pastry
444,11/4/2016,Medialuna
445,11/4/2016,Coffee
445,11/4/2016,Coffee
445,11/4/2016,Jam
446,11/4/2016,Bread
446,11/4/2016,Coffee
447,11/4/2016,Coffee
447,11/4/2016,Coffee
448,11/4/2016,Bread
449,11/4/2016,Hot chocolate
450,11/4/2016,Bread
450,11/4/2016,Medialuna
451,11/4/2016,Bread
451,11/4/2016,Jam
452,11/4/2016,Jam
452,11/4/2016,Bread
453,11/4/2016,Coffee
453,11/4/2016,Bread
454,11/4/2016,Bread
454,11/4/2016,Farm House
455,11/4/2016,Bread
455,11/4/2016,Coffee
455,11/4/2016,Coffee
456,11/4/2016,Tea
456,11/4/2016,Pastry
457,11/4/2016,Coffee
457,11/4/2016,Coffee
458,11/4/2016,Bread
459,11/4/2016,Pastry
459,11/4/2016,Brownie
460,11/4/2016,Farm House
461,11/4/2016,Coffee
462,11/4/2016,Tea
462,11/4/2016,Coffee
462,11/4/2016,Honey
462,11/4/2016,Cookies
463,11/4/2016,Tea
464,11/4/2016,Bread
465,11/4/2016,Brownie
466,11/4/2016,Bread
466,11/4/2016,Coffee
467,11/4/2016,Bread
468,11/4/2016,Coffee
469,11/4/2016,Tea
469,11/4/2016,Tea
470,11/4/2016,Tea
471,11/4/2016,Coffee
471,11/4/2016,Coffee
473,11/4/2016,Bread
473,11/4/2016,Coffee
474,11/4/2016,Bread
474,11/4/2016,Bread
475,11/4/2016,Bread
475,11/4/2016,The BART
476,11/4/2016,Coffee
476,11/4/2016,NONE
476,11/4/2016,Brownie
477,11/4/2016,Coffee
478,11/4/2016,Coffee
478,11/4/2016,Brownie
479,11/4/2016,Mineral water
479,11/4/2016,Coffee
479,11/4/2016,Coffee
479,11/4/2016,Tartine
479,11/4/2016,NONE
480,11/4/2016,Brownie
480,11/4/2016,Coffee
481,11/4/2016,Brownie
481,11/4/2016,Juice
482,11/4/2016,Coffee
482,11/4/2016,Coffee
482,11/4/2016,Bread
482,11/4/2016,Tea
